"Ensembl","GeneName","GSM776959","GSM776960","GSM776961","GSM776962","GSM776963","GSM776964","GSM776965","GSM776966","GSM776971","GSM776972","GSM776973","GSM776974"
"ENSG00000136231","IGF2BP3","5.4","17.1","3","23.5","72.2","114.3","105.5","125.8","101.2","558.2","148.3","259.2"
"ENSG00000113070","HBEGF","523.9","453.4","346.2","219.4","182.2","278.5","571","135.3","438.6","131","1526.9","336.6"
"ENSG00000109381","ELF2","762.9","425.6","157.2","149.3","283.3","188.4","129.5","560.2","471.5","310","181.6","238.1"
"ENSG00000138835","RGS3","463.2","539.1","690.1","924","1245.5","1926.8","2602.7","1954.2","5246.9","3419.9","5060.6","1263.6"
"ENSG00000127324","TSPAN8","337.9","306.4","157","201.2","103.1","136.7","203.8","163.1","30","42.5","63.4","70.6"
"ENSG00000169925","BRD3","714","756.5","504.8","602.4","596.6","462.8","884.2","482.6","533.7","732.3","521.9","674.4"
"ENSG00000110697","PITPNM1","138.5","62.4","62.5","62.7","62.9","38.8","120.6","101.7","68.8","110.2","199.3","116.3"
"ENSG00000070540","WIPI1","414.9","1385.6","473.4","336.8","1052.1","1106","1637.4","1269.1","3037.2","2386.1","2034.7","1105.5"
"ENSG00000008517","IL32","5","3.5","6.6","3.7","5.6","33.4","9.7","6.2","4.2","2","8.3","5.8"
"ENSG00000109911","ELP4","601.6","919","634.9","506.8","637.3","489.6","530.1","469","338.3","666.6","402.2","588.8"
"ENSG00000108666","C17orf75","119.7","102.4","140","84.6","104.7","136","132.2","148.7","97.2","74.6","58.6","112.4"
"ENSG00000179912","R3HDM2","680.9","557.8","389.1","612","918.7","574.9","769.9","530.6","422.7","797.9","435.8","806.8"
"ENSG00000139343","SNRPF","727.7","1069.4","798.8","660.7","486.4","570.5","636.7","451.8","623.5","376.5","650.3","216.7"
"ENSG00000152291","TGOLN2","229.2","282","493.6","451","342.3","468.3","310.4","366.4","231","294.8","536","469"
"ENSG00000137507","LRRC32","103.1","59.3","275.2","557.6","259.2","121.5","579.3","222.5","1133","2172","98.6","583.2"
"ENSG00000197442","MAP3K5","216.1","251.9","204.7","119","101.7","99.8","209.8","54.5","95.7","85.4","108","107.2"
"ENSG00000061938","TNK2","63.5","10.7","3.4","2.9","4","17.3","3.1","7.6","40.4","4.4","4.6","38"
"ENSG00000117475","BLZF1","222","221.2","534","454.7","287.2","340.8","206.8","402.2","331.5","185.7","236.6","254.1"
"ENSG00000084764","MAPRE3","3.3","3.3","2","3.5","3.3","11","2.7","2.4","1.3","3.6","20.2","1.4"
"ENSG00000177189","RPS6KA3","334.4","391.4","260.8","205.8","481.9","297.3","609.7","372.4","410","383.5","316.4","505.3"
